city,geography,state_id,year,latitude,longitude,average_price,total_volume,sm_4046,l_4225,xl_4770
Chicago,Chicago,IL,2020,41.8755616,-87.6244212,1.428958333,51628495.19,6398723.03,10097419.26,2187373.05
Cincinnati,Cincinnati/Dayton,OH,2015,39.10406494,-84.5203476,1.202307692,11756176,248187.57,7989233.02,477197.73
Cincinnati,Cincinnati/Dayton,OH,2016,39.10406494,-84.5203476,1.088365385,14020866.38,225241.23,7151823.28,429267.47
Cincinnati,Cincinnati/Dayton,OH,2017,39.10406494,-84.5203476,1.319433962,15146677.9,414893.14,5042195.41,105565.02
Cincinnati,Cincinnati/Dayton,OH,2018,39.10406494,-84.5203476,1.323265306,15351315.54,3495635.46,1705219.65,691130.85
Cincinnati,Cincinnati/Dayton,OH,2019,39.10406494,-84.5203476,1.296153846,17272060.68,3252937.65,1613166.27,599491.49
Cincinnati,Cincinnati/Dayton,OH,2020,39.10406494,-84.5203476,1.1978125,19185710.24,4469483.04,1128696.8,552342.08
Columbus,Columbus,OH,2015,39.9622601,-83.0007065,1.273846154,7849782.12,3683775.22,1893874.86,929283.69
Columbus,Columbus,OH,2016,39.9622601,-83.0007065,1.186346154,9059466.53,3812921.95,1941894.27,609560.32
Columbus,Columbus,OH,2017,39.9622601,-83.0007065,1.315660377,10240212.77,4201965.97,1505308.82,96631.68
Columbus,Columbus,OH,2018,39.9622601,-83.0007065,1.202142857,11807038.79,3192165.1,1459910.22,187993.59
Columbus,Columbus,OH,2019,39.9622601,-83.0007065,1.239711538,12475312.59,3040132.98,1482990.59,144273.12
Columbus,Columbus,OH,2020,39.9622601,-83.0007065,1.090833333,14504936.89,3870646.34,984106.7,106833.55
Dallas,Dallas/Ft. Worth,TX,2015,32.7762719,-96.7968559,1.077884615,60311308.63,35487263.25,17787401.19,1061413.84
Dallas,Dallas/Ft. Worth,TX,2016,32.7762719,-96.7968559,0.9961538462,63695249.88,32097626.87,13333141.69,2592893.53
Dallas,Dallas/Ft. Worth,TX,2017,32.7762719,-96.7968559,1.176981132,66240982.71,34117555.18,13084363.23,496196.67
Dallas,Dallas/Ft. Worth,TX,2018,32.7762719,-96.7968559,1.112142857,73457363.02,33589385.95,12134755.1,374228.83
Dallas,Dallas/Ft. Worth,TX,2019,32.7762719,-96.7968559,1.101346154,82343225.18,33046974.47,12021091.68,1197368.64
Dallas,Dallas/Ft. Worth,TX,2020,32.7762719,-96.7968559,0.985625,90156031.43,33373075.03,9931947.38,856128.61
Denver,Denver,CO,2015,39.7392364,-104.9848623,1.187788462,39190343.42,7691728.69,21745054.64,746570.63
Denver,Denver,CO,2016,39.7392364,-104.9848623,1.093173077,45307762.05,8063375.71,13624397.15,1016118.69
Denver,Denver,CO,2017,39.7392364,-104.9848623,1.357735849,42559077.12,8405850.38,12247146.6,775668
Denver,Denver,CO,2018,39.7392364,-104.9848623,1.316020408,46270275.94,8502461.85,11616159.08,818576.78
Denver,Denver,CO,2019,39.7392364,-104.9848623,1.449230769,49170734.87,9259850.72,8312010.71,635832.02
Denver,Denver,CO,2020,39.7392364,-104.9848623,1.168541667,55431335.5,10545297.5,6789820.05,329677.85
Detroit,Detroit,MI,2015,42.3315509,-83.0466403,1.338269231,17979579.34,6572846.17,3519117.88,4019831.43
Detroit,Detroit,MI,2016,42.3315509,-83.0466403,1.172403846,18907458.5,5945906.41,3499045.89,2751731.33
Detroit,Detroit,MI,2017,42.3315509,-83.0466403,1.339056604,20512424.19,5053983.67,3536808.86,1420518.81
Detroit,Detroit,MI,2018,42.3315509,-83.0466403,1.213061224,25207842.97,5196908.18,3517814.73,2776564.13
Detroit,Detroit,MI,2019,42.3315509,-83.0466403,1.284519231,26902932.18,5553803.46,2909778.23,3506392
Detroit,Detroit,MI,2020,42.3315509,-83.0466403,1.165104167,30512542.19,7031062.28,2166439.52,2893930.88
Grand Rapids,Grand Rapids,MI,2015,42.9632405,-85.6678639,1.416346154,9740943.15,210049.41,6067609.39,600774.82
Grand Rapids,Grand Rapids,MI,2016,42.9632405,-85.6678639,1.509326923,9146871.79,135689.99,5766806.15,471609.14
Grand Rapids,Grand Rapids,MI,2017,42.9632405,-85.6678639,1.627735849,8754457.66,111437.92,4332215.62,1533115.1
Grand Rapids,Grand Rapids,MI,2018,42.9632405,-85.6678639,1.340816327,9973032.85,170684.72,3929004.79,2826268.89
Grand Rapids,Grand Rapids,MI,2019,42.9632405,-85.6678639,1.432019231,10238087.32,272317.6,3669880.01,3306114.33
Grand Rapids,Grand Rapids,MI,2020,42.9632405,-85.6678639,1.334479167,11116404.67,1331721.53,3118051.97,2835289.76
Harrisburg,Harrisburg/Scranton,PA,2015,41.41007996,-75.6607132,1.471634615,11637904.91,1844423.78,6225840.49,35853.73
Harrisburg,Harrisburg/Scranton,PA,2016,41.41007996,-75.6607132,1.511634615,13124823.95,2218482.98,6465024.45,17312.03
Harrisburg,Harrisburg/Scranton,PA,2017,41.41007996,-75.6607132,1.595754717,13144317.98,2484266.96,6354354.44,19243.91
Harrisburg,Harrisburg/Scranton,PA,2018,41.41007996,-75.6607132,1.275204082,16625102.84,3338664.85,7613712.15,14396.88
Harrisburg,Harrisburg/Scranton,PA,2019,41.41007996,-75.6607132,1.235,18450593.15,3026800.85,9066637.28,33319.82
Harrisburg,Harrisburg/Scranton,PA,2020,41.41007996,-75.6607132,1.20125,20993654.96,6762668.2,6879036.26,17074.37
Hartford,Hartford/Springfield,CT,2015,41.7655582,-72.6906128,1.747788462,15162242.99,240017.1,11699672.79,74400.06
Hartford,Hartford/Springfield,CT,2016,41.7655582,-72.6906128,1.851057692,15697949.8,403124.67,11655673.34,28431.83
Hartford,Hartford/Springfield,CT,2017,41.7655582,-72.6906128,1.888301887,15322604.02,526359.21,11100662.02,63950.9
Hartford,Hartford/Springfield,CT,2018,41.7655582,-72.6906128,1.674693878,18739549.4,665970.1,14238254.66,27391.39
Hartford,Hartford/Springfield,CT,2019,41.7655582,-72.6906128,1.698076923,18859899.88,406134,14517336,106119.95
Hartford,Hartford/Springfield,CT,2020,41.7655582,-72.6906128,1.691875,20822719.7,575319.11,15620870.9,95934.23
Houston,Houston,TX,2015,29.7589382,-95.3676974,1.048076923,55387471.37,27809218.06,20168970.92,1017544.39
Houston,Houston,TX,2016,29.7589382,-95.3676974,0.9919230769,58704786.43,29469728.35,13679696.02,3713996.69
Houston,Houston,TX,2017,29.7589382,-95.3676974,1.104056604,69093092.89,33380808.8,11702179.52,649310.74
Houston,Houston,TX,2018,29.7589382,-95.3676974,1.023163265,81032838.61,34166020.69,9815946.43,254141.42
Houston,Houston,TX,2019,29.7589382,-95.3676974,1.23,76163650.38,29937540.45,10025329.82,1208484.96
Houston,Houston,TX,2020,29.7589382,-95.3676974,1.051875,80462007.19,29400341.3,12188601.99,198657.6
Indianapolis,Indianapolis,IN,2015,39.7683331,-86.1583502,1.342980769,8189062.03,353970.1,5034029.34,586526.58
Indianapolis,Indianapolis,IN,2016,39.7683331,-86.1583502,1.301538462,9164453.5,667396.89,4574558.71,585670.2
Indianapolis,Indianapolis,IN,2017,39.7683331,-86.1583502,1.330754717,10001201.1,677252.75,4181914,114067.44
Indianapolis,Indianapolis,IN,2018,39.7683331,-86.1583502,1.209897959,11014030.88,2369535.79,2421970.9,386166.61
Indianapolis,Indianapolis,IN,2019,39.7683331,-86.1583502,1.233461538,12854724.11,2455254.66,2849714.58,266498.6
Indianapolis,Indianapolis,IN,2020,39.7683331,-86.1583502,1.124375,15182413.2,4365384.69,1701022.6,219061.61
Jacksonville,Jacksonville,TN,2015,30.3321838,-81.655651,1.503076923,7176476.68,4697055.59,728851.96,40739.86
Jacksonville,Jacksonville,TN,2016,30.3321838,-81.655651,1.367692308,9711836.11,4416504.49,1662616.45,18978.72
Jacksonville,Jacksonville,TN,2017,30.3321838,-81.655651,1.671509434,9193287.61,4868987.26,967134.18,8283.17
Jacksonville,Jacksonville,TN,2018,30.3321838,-81.655651,1.378265306,11345642.39,6288283.53,670481.84,28478.38
Jacksonville,Jacksonville,TN,2019,30.3321838,-81.655651,1.250865385,12374136.92,4862343.71,449221.62,43140.23
Jacksonville,Jacksonville,TN,2020,30.3321838,-81.655651,1.1296875,12406084.43,5175774.62,712448,12834.97
Las Vegas,Las Vegas,NV,2015,36.1672559,-115.148516,1.368846154,15542428.66,6605406.06,6074909.37,327041.41
Las Vegas,Las Vegas,NV,2016,36.1672559,-115.148516,1.352403846,16907013.56,6561975.45,4248136.21,428289.06
Las Vegas,Las Vegas,NV,2017,36.1672559,-115.148516,1.417830189,17433832.68,5690764.75,3609415.09,338114.27
Las Vegas,Las Vegas,NV,2018,36.1672559,-115.148516,1.36622449,17852762.5,3776334.59,5565359.85,367995.81
Las Vegas,Las Vegas,NV,2019,36.1672559,-115.148516,1.436442308,19355350.84,3721298.78,4280456.35,228549.95
Las Vegas,Las Vegas,NV,2020,36.1672559,-115.148516,1.19625,21759364.19,3410353.85,2402035.02,7471.9
Los Angeles,Los Angeles,CA,2015,34.0536909,-118.242766,1.1525,148220693,90357985.71,32732332.53,3832863.59
Los Angeles,Los Angeles,CA,2016,34.0536909,-118.242766,1.08375,163142302.8,55735010.45,35609084.43,4200597.53
Los Angeles,Los Angeles,CA,2017,34.0536909,-118.242766,1.377358491,158481174.2,62259490.45,27523901.21,4629497.16
Los Angeles,Los Angeles,CA,2018,34.0536909,-118.242766,1.385,150961956.8,55766368.75,23725285.01,4008174.65
Los Angeles,Los Angeles,CA,2019,34.0536909,-118.242766,1.482019231,163162613.6,47587109.88,18476704.92,5837355.27
Los Angeles,Los Angeles,CA,2020,34.0536909,-118.242766,1.394895833,175381747.6,51636721.96,4114529.84,7197893.52
Louisville,Louisville,KY,2015,38.2542376,-85.759407,1.294423077,4289003.17,141486.26,2750075.66,167465.38
Louisville,Louisville,KY,2016,38.2542376,-85.759407,1.211538462,5076328.78,112778.36,2952372.87,155256.32
Louisville,Louisville,KY,2017,38.2542376,-85.759407,1.357075472,5260109.44,166626.54,2303955.05,12817.91
Louisville,Louisville,KY,2018,38.2542376,-85.759407,1.295612245,6161279.52,1372129.34,1305885.79,11591.84
Louisville,Louisville,KY,2019,38.2542376,-85.759407,1.338076923,6545291.98,1360034.51,831165.52,11375.85
Louisville,Louisville,KY,2020,38.2542376,-85.759407,1.109375,7560658.24,1941102.77,624961.28,4476.13
Miami,Miami/Ft. Lauderdale,FL,2015,25.7741728,-80.19362,1.383557692,25166511.88,17573286,2868455.46,18213.82
Miami,Miami/Ft. Lauderdale,FL,2016,25.7741728,-80.19362,1.279807692,31885060.49,16025782.14,6795094.41,14327.49
Miami,Miami/Ft. Lauderdale,FL,2017,25.7741728,-80.19362,1.63754717,30880231.03,18932974.26,4411459.87,47671.09
Miami,Miami/Ft. Lauderdale,FL,2018,25.7741728,-80.19362,1.293673469,40420446.28,26239183.38,3190798.2,148135.72
Miami,Miami/Ft. Lauderdale,FL,2019,25.7741728,-80.19362,1.247788462,50839242.36,20789099.15,1949561.78,274578.8
Miami,Miami/Ft. Lauderdale,FL,2020,25.7741728,-80.19362,1.179375,52553356.64,24970535.13,1999267.25,41296.82
Nashville,Nashville,TN,2015,36.1622296,-86.7743531,1.277211538,8661916.15,5396968.1,974652.8,514881.3
Nashville,Nashville,TN,2016,36.1622296,-86.7743531,1.116153846,10499174.9,5102495.94,1479763.17,118943.53
Nashville,Nashville,TN,2017,36.1622296,-86.7743531,1.24,12938644.83,6107436.14,1175141.69,7133.22
Nashville,Nashville,TN,2018,36.1622296,-86.7743531,1.251632653,14183034.91,6070358.71,656034.35,19880.42
Nashville,Nashville,TN,2019,36.1622296,-86.7743531,1.271923077,14644386.92,5608371.11,546261.59,24243.75
Nashville,Nashville,TN,2020,36.1622296,-86.7743531,1.145520833,16526591.59,6161311.76,598952.37,4158.74
New Orleans,New Orleans/Mobile,LA,2015,29.9499323,-90.0701156,1.267692308,12664307.94,8120369.53,741012.25,123656.43
New Orleans,New Orleans/Mobile,LA,2016,29.9499323,-90.0701156,1.248653846,14640366.08,7985973.43,1851243.09,29571.28
New Orleans,New Orleans/Mobile,LA,2017,29.9499323,-90.0701156,1.419056604,14326501.89,8308915.84,1512066.58,26931.35
New Orleans,New Orleans/Mobile,LA,2018,29.9499323,-90.0701156,1.237346939,15893829.67,8973312.91,1260834.6,80876.74
New Orleans,New Orleans/Mobile,LA,2019,29.9499323,-90.0701156,1.117692308,17626064.69,8876684.71,937764.45,76891.5
New Orleans,New Orleans/Mobile,LA,2020,29.9499323,-90.0701156,1.074791667,19515501.25,8324093.7,1085216.85,23047.87
New York,New York,NY,2015,40.7127281,-74.0060152,1.644519231,70607635.91,1203187.57,54032446.84,131978.12
New York,New York,NY,2016,40.7127281,-74.0060152,1.762019231,71546563.14,1574304.29,48539088.01,709361.34
New York,New York,NY,2017,40.7127281,-74.0060152,1.80990566,74850673.31,3703241.88,45918062.46,888655.78
New York,New York,NY,2018,40.7127281,-74.0060152,1.566938776,97608754,3999969.81,58964606.89,202704.07
New York,New York,NY,2019,40.7127281,-74.0060152,1.628269231,97997538.11,3525763.37,60349691.11,1200301.14
New York,New York,NY,2020,40.7127281,-74.0060152,1.526770833,115634079.7,4145561.04,66030545.71,363594.81
Orlando,Orlando,FL,2015,28.5421109,-81.3790304,1.499326923,14719576.09,9615181.38,1776022.28,8495.1
Orlando,Orlando,FL,2016,28.5421109,-81.3790304,1.370769231,19214786.8,9004977.22,3857237.05,9466.93
Orlando,Orlando,FL,2017,28.5421109,-81.3790304,1.680188679,18811402.03,11027936.03,2314929.75,14310.34
Orlando,Orlando,FL,2018,28.5421109,-81.3790304,1.311122449,24714718.85,15071715.44,1590925.89,95947.49
Orlando,Orlando,FL,2019,28.5421109,-81.3790304,1.186730769,27905628.79,11783436.82,870567.65,219972.99
Orlando,Orlando,FL,2020,28.5421109,-81.3790304,1.089375,30535204.07,12554845.99,872562.15,26809.39
Philadelphia,Philadelphia,PA,2015,39.9527237,-75.1635262,1.555192308,20892219.99,884044.89,14220469.46,56572.68
Philadelphia,Philadelphia,PA,2016,39.9527237,-75.1635262,1.674807692,22108096.42,1015941.12,12948544.62,335708.36
Philadelphia,Philadelphia,PA,2017,39.9527237,-75.1635262,1.707264151,22271244.85,1955031.36,12226455.06,203309.86
Philadelphia,Philadelphia,PA,2018,39.9527237,-75.1635262,1.409591837,28077906.49,2229800.33,14795179.93,67610.16
Philadelphia,Philadelphia,PA,2019,39.9527237,-75.1635262,1.412019231,29939900.66,1811170.03,16313362.59,221937.02
Philadelphia,Philadelphia,PA,2020,39.9527237,-75.1635262,1.363854167,35143305.02,5354006.25,13615806.75,54494.66
Phoenix,Phoenix/Tucson,AZ,2015,33.4484367,-112.0741417,1.157115385,57176285.48,40701731.16,11220627.51,431159.51
Phoenix,Phoenix/Tucson,AZ,2016,33.4484367,-112.0741417,1.25875,59283687.23,34267073.65,12534279.36,888074.14
Phoenix,Phoenix/Tucson,AZ,2017,33.4484367,-112.0741417,1.27254717,61170534.26,30978902.28,12023769.73,665420.69
Phoenix,Phoenix/Tucson,AZ,2018,33.4484367,-112.0741417,1.124591837,65078641.94,29088446,13250555.03,734085.92
Phoenix,Phoenix/Tucson,AZ,2019,33.4484367,-112.0741417,1.332788462,67771877.34,23875650.44,13606027.49,583008.98
Phoenix,Phoenix/Tucson,AZ,2020,33.4484367,-112.0741417,1.095104167,72042387.34,20994603.08,10927306.03,203742.4
Pittsburgh,Pittsburgh,PA,2015,40.4416941,-79.9900861,1.407211538,4539999.59,121454.98,2800496.71,97406.99
Pittsburgh,Pittsburgh,PA,2016,40.4416941,-79.9900861,1.343365385,5516197.84,555078.15,2708051.89,74068.77
Pittsburgh,Pittsburgh,PA,2017,40.4416941,-79.9900861,1.362924528,6848628.66,2675483.72,1537004.19,95583.86
Pittsburgh,Pittsburgh,PA,2018,40.4416941,-79.9900861,1.274591837,8074307.99,2341395.04,1024520.87,88376.34
Pittsburgh,Pittsburgh,PA,2019,40.4416941,-79.9900861,1.353269231,7730814.8,2005451.45,900977.92,64179.57
Pittsburgh,Pittsburgh,PA,2020,40.4416941,-79.9900861,1.210208333,8385741.43,2570433.16,668125.23,7072.28
Portland,Portland,OR,2015,45.5202471,-122.6741949,1.306826923,27943455.35,8408542.31,12756148.58,901340.82
Portland,Portland,OR,2016,45.5202471,-122.6741949,1.191634615,37311511.88,6063324.09,10224940.45,886985.81
Portland,Portland,OR,2017,45.5202471,-122.6741949,1.434339623,36899453.91,7757574.61,8815683.97,865948.78
Portland,Portland,OR,2018,45.5202471,-122.6741949,1.47255102,33956269.95,3628053.14,13473468.98,879702.39
Portland,Portland,OR,2019,45.5202471,-122.6741949,1.647019231,35185420.53,3678784.1,10628268.69,974124.44
Portland,Portland,OR,2020,45.5202471,-122.6741949,1.408229167,42247662.61,5533759.73,4945311.79,193506.78
Raleigh,Raleigh/Greensboro,NC,2015,35.7803977,-78.6390989,1.449423077,12817334.29,2954295.67,3789265.08,2359059.4
Raleigh,Raleigh/Greensboro,NC,2016,35.7803977,-78.6390989,1.447788462,14567854.29,3452139.68,5658417.79,1221136.99
Raleigh,Raleigh/Greensboro,NC,2017,35.7803977,-78.6390989,1.768679245,16028647.8,4237730.41,5777129.69,380669.91
Raleigh,Raleigh/Greensboro,NC,2018,35.7803977,-78.6390989,1.623163265,18966790.34,5251233.68,5679075.26,300961.25
Raleigh,Raleigh/Greensboro,NC,2019,35.7803977,-78.6390989,1.642403846,20884692.91,8276875.67,3443002.75,344638.61
Raleigh,Raleigh/Greensboro,NC,2020,35.7803977,-78.6390989,1.320208333,24713984.56,10072299.28,3851090.72,223303.83
Richmond,Richmond/Norfolk,VA,2015,37.5385087,-77.43428,1.274519231,11651078.72,3719332.68,4885160.91,626219.53
Richmond,Richmond/Norfolk,VA,2016,37.5385087,-77.43428,1.211153846,12938025.72,4061455.38,5048522.53,388637.44
Richmond,Richmond/Norfolk,VA,2017,37.5385087,-77.43428,1.399245283,13646923.95,3731764.69,4912851.8,132102.74
Richmond,Richmond/Norfolk,VA,2018,37.5385087,-77.43428,1.225510204,15990922.42,3734798.03,4517502.74,103137.81
Richmond,Richmond/Norfolk,VA,2019,37.5385087,-77.43428,1.211153846,17065916.12,4724969.02,3647674.97,97729.63
Richmond,Richmond/Norfolk,VA,2020,37.5385087,-77.43428,1.159895833,19957109.5,5796818.74,3919204.8,55887.81
Roanoke,Roanoke,VA,2015,37.270973,-79.9414313,1.227115385,6778812.57,2617445.78,2508196.45,9361.51
Roanoke,Roanoke,VA,2016,37.270973,-79.9414313,1.1475,7686816.53,2308114.72,2530859.02,7837.96
Roanoke,Roanoke,VA,2017,37.270973,-79.9414313,1.358301887,8085611.81,1924978.34,2364273.76,6487.86
Roanoke,Roanoke,VA,2018,37.270973,-79.9414313,1.284387755,9970332.55,2405716.76,2086557.05,12017.14
Roanoke,Roanoke,VA,2019,37.270973,-79.9414313,1.271442308,10667838.68,2946641.6,1665908.46,6773.52
Roanoke,Roanoke,VA,2020,37.270973,-79.9414313,1.1046875,11987875.78,3864745.38,1357410.9,2449.57
Sacramento,Sacramento,CA,2015,38.5810606,-121.493895,1.454038462,21980537.88,6584661.68,12286799.38,669628.7
Sacramento,Sacramento,CA,2016,38.5810606,-121.493895,1.668173077,23123030.38,7199783.47,12362407.2,705430.8
Sacramento,Sacramento,CA,2017,38.5810606,-121.493895,1.774056604,23192428.84,7604407.45,12755386.69,165902.92
Sacramento,Sacramento,CA,2018,38.5810606,-121.493895,1.49877551,26620608.44,7686369.12,14823242.83,77467.24
Sacramento,Sacramento,CA,2019,38.5810606,-121.493895,1.593173077,26024337.76,6880030.29,13119996.21,162041.47
Sacramento,Sacramento,CA,2020,38.5810606,-121.493895,1.5046875,28330372.43,8136902.38,10322223.28,157748.89
San Diego,San Diego,CA,2015,32.7174202,-117.1627728,1.274230769,26585726.02,13754845.04,9120252.67,852370.77
San Diego,San Diego,CA,2016,32.7174202,-117.1627728,1.31375,29338050.87,8985658.25,8966905.32,1040419
San Diego,San Diego,CA,2017,32.7174202,-117.1627728,1.584528302,27194292.31,9137372.37,9015750.18,1003225.29
San Diego,San Diego,CA,2018,32.7174202,-117.1627728,1.509387755,26384797.68,7304243.88,8787839.45,962307.06
San Diego,San Diego,CA,2019,32.7174202,-117.1627728,1.582596154,29758008.46,5525355.68,7508408.28,881544.55
San Diego,San Diego,CA,2020,32.7174202,-117.1627728,1.474166667,34503574.4,6200477.25,1699089.22,757382.66
San Francisco,San Francisco,CA,2015,37.7790262,-122.419906,1.621057692,39445801.78,9011416.58,24992894.26,1458940.26
San Francisco,San Francisco,CA,2016,37.7790262,-122.419906,1.88125,41529627.84,10552486.39,24900324.56,1768476.21
San Francisco,San Francisco,CA,2017,37.7790262,-122.419906,1.965943396,41871502.89,11153819.81,25562111.73,390775.16
San Francisco,San Francisco,CA,2018,37.7790262,-122.419906,1.645204082,49177444.06,12832968.15,28593564.93,173420.61
San Francisco,San Francisco,CA,2019,37.7790262,-122.419906,1.759807692,49319324.93,12619391.64,23881155.1,467281.07
San Francisco,San Francisco,CA,2020,37.7790262,-122.419906,1.668958333,52873186.85,12417612.98,13052570.06,310838.04
Seattle,Seattle,WA,2015,47.6038321,-122.3300624,1.422211538,29057099.45,8816138.09,12918216.02,595932.85
Seattle,Seattle,WA,2016,47.6038321,-122.3300624,1.300288462,37188418.42,5006233.81,10842861.9,321099.33
Seattle,Seattle,WA,2017,47.6038321,-122.3300624,1.599339623,35027565.74,6298490.35,9914395.65,87574.71
Seattle,Seattle,WA,2018,47.6038321,-122.3300624,1.585510204,31292148.93,5245296.76,9372247.94,81741.04
Seattle,Seattle,WA,2019,47.6038321,-122.3300624,1.739519231,32811480.4,4723791.25,8091398.87,65050.19
Seattle,Seattle,WA,2020,47.6038321,-122.3300624,1.624270833,37025862.9,4229861.33,5166022.26,43127.92
Spokane,Spokane,WA,2015,47.6571934,-117.4235106,1.400384615,4181687.17,1585157.66,1732233.97,160762.78
Spokane,Spokane,WA,2016,47.6571934,-117.4235106,1.333557692,5006166.54,1127577.04,1275211.29,103433.56
Spokane,Spokane,WA,2017,47.6571934,-117.4235106,1.604528302,5151528.3,1094228.72,1559638.34,9853.86
